collection,algoritmo,execucao_index,tempo_ns
inversos,hibrido,42,10707100
inversos,hibrido,43,10635300
inversos,hibrido,44,10773600
inversos,hibrido,45,10757600
inversos,hibrido,46,10938600
inversos,hibrido,47,11002800
inversos,hibrido,48,10613600
inversos,hibrido,49,10673300
inversos,hibrido,50,10758500
inversos,hibrido,51,10706700
inversos,hibrido,52,10560700
inversos,hibrido,53,10845000
inversos,hibrido,54,10886000
inversos,hibrido,55,10629300
inversos,hibrido,56,10973700
inversos,hibrido,57,10986200
inversos,hibrido,58,10861000
inversos,hibrido,59,11288100
inversos,hibrido,60,10981300
inversos,hibrido,61,10697900
inversos,hibrido,62,10801100
inversos,hibrido,63,10903400
inversos,hibrido,64,10667000
inversos,hibrido,65,10921100
inversos,hibrido,66,10629400
inversos,hibrido,67,10771400
inversos,hibrido,68,10770600
inversos,hibrido,69,10998400
inversos,hibrido,70,11019600
inversos,hibrido,71,10754800
inversos,hibrido,72,11004400
inversos,hibrido,73,10953300
inversos,hibrido,74,10846800
inversos,hibrido,75,10613000
inversos,hibrido,76,11493700
inversos,hibrido,77,10984600
inversos,hibrido,78,10903400
inversos,hibrido,79,11106300
inversos,hibrido,80,10804600
inversos,hibrido,81,11252700
inversos,hibrido,82,11197700
inversos,hibrido,83,10707000
inversos,hibrido,84,10969200
inversos,hibrido,85,10655900
inversos,hibrido,86,10797300
inversos,hibrido,87,10768500
inversos,hibrido,88,10756500
inversos,hibrido,89,10515900
inversos,hibrido,90,10623800
inversos,hibrido,91,10864600
inversos,hibrido,92,11613500
inversos,hibrido,93,11089800
inversos,hibrido,94,10601000
inversos,hibrido,95,10743800
inversos,hibrido,96,10674100
inversos,hibrido,97,11251300
inversos,hibrido,98,10860600
inversos,hibrido,99,10642200
